gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
CFAP20,5.311698002674614e-05,0.2544861941367785,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0005665280298504828,4.274766624811035
VARS,5.338644704999673e-05,-1.4067711835066803,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005689755570242348,4.2725689811448095
217536_x_at,5.366915738025391e-05,-1.3977405889688306,3,GSE55235;GSE12021;GSE55457,False,1,2,0.00057156045748971,4.270275223195893
YME1L1,5.3944441636533114e-05,0.9779541624098264,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005740624649249014,4.268053297801159
MTSS1,5.4196833197517336e-05,-1.4115498252617888,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005763172965129122,4.266026089200061
HLTF,5.441967116515123e-05,0.4777432203551455,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005782547284075964,4.264244086804547
PDGFB,5.457844199152628e-05,-0.1697635163168997,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005795090094443552,4.26297886595708
CALML4,5.4651085004575606e-05,1.3133358625031286,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005798476043587634,4.262401211448543
GSAP,5.480763801857247e-05,0.13508095338777829,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005810753157438518,4.2611589138118315
COL8A1,5.491172749527706e-05,1.8559516094080892,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005817453900244245,4.260334893390148
ATF3,5.5116017343537216e-05,-2.626938415604202,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000583475219318339,4.258722171873567
CUL4B,5.5241060762600824e-05,-0.07183886401991746,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005843641728849699,4.25773799050396
GTF3C2,5.584497241051256e-05,-0.4747557823176313,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005896722624124266,4.253015919283454
OR10C1,5.591361426682262e-05,-0.49403475156383453,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005896722624124266,4.2524824339548015
